,date,length,commonlength,maxder,dcar,speed,weight,load,curve,profile,type,twoways,exit,my_predict
134,7,66.0,68.0,65.0,1,45.0,1759.0,0.052920509442248576,0.003003003003003003,-0.0024,0,1.0,0.0,0.06027678067554552
135,7,110.0,112.0,60.0,1,50.380132450331125,2903.0,0.04914361001317524,0.0011695906432748538,0.0052,0,1.0,0.0,0.008128496722064551
137,7,85.0,88.0,33.0,1,76.0,2197.0,0.0412617220801364,0.0,0.0052,0,1.0,0.0,0.025280359562832862
138,7,56.0,59.0,8.0,3,39.0,4496.0,0.8302277432712215,0.0030303030303030303,-0.0026,0,1.0,0.0,0.3296307509509405
140,8,76.0,78.0,2.0,1,79.0,3878.0,0.4061784897025172,0.0010319917440660474,-0.0084,0,1.0,0.0,0.06595969726004466
141,8,80.0,83.0,18.0,1,32.0,5865.0,0.7291666666666667,0.0,-0.0027,0,1.0,0.0,0.09393948592709864
142,9,61.0,65.0,13.0,1,72.0,2697.0,0.3074364457115704,0.0011904761904761906,0.0,0,1.0,1.0,0.10074977363791526
143,10,68.0,70.0,44.0,1,56.0,6314.0,1.0123614663256608,0.0010070493454179255,-0.0026,0,1.0,1.0,0.18625921272512916
146,11,64.0,68.0,58.0,1,63.0,5991.0,1.0233242753623188,0.0,-0.0072,0,1.0,0.0,0.20523874499343184
148,12,76.0,80.0,73.0,1,50.380132450331125,7496.0,1.0961098398169338,0.0,0.001,0,1.0,0.0,0.1746224381400835
149,12,68.0,72.0,16.0,1,59.0,2570.0,0.2144075021312873,0.0013717421124828531,1.4663793103448243e-05,0,1.0,0.0,0.06849910238920234
150,1,70.0,73.0,17.0,11,46.0,6171.0,0.9443064182194618,0.00307692307692307,-0.0024,1,1.0,1.0,0.842103416190286
154,5,54.0,56.0,55.0,17,40.0,5026.0,1.0155662909286098,0.003076923076923077,0.0086,1,1.0,1.0,0.9849581327563641
155,7,51.0,54.0,16.0,6,56.0,1640.0,0.13270815572605854,0.0,0.0041,1,1.0,1.0,0.4225199533095341
157,9,127.0,131.0,43.0,15,37.0,11828.0,1.0164327285176311,0.0031746031746031746,-0.0028,1,1.0,1.0,0.8313326339253857
159,11,80.0,84.0,59.0,3,5.0,3451.0,0.29184782608695653,0.0036101083032490976,-0.0025,1,1.0,0.0,0.08799680630474796
160,2,89.0,92.0,68.0,34,56.0,7796.0,0.93616674808663,0.00181159420289855,0.006,1,1.0,1.0,0.9998369141645922
161,2,67.0,71.0,57.0,30,50.0,6243.0,1.01708847069002,0.003174,0.0085,1,1.0,1.0,0.9997060750370663
162,3,68.13375796178345,70.8407643312102,67.0,11,50.380132450331125,4419.3057324840765,0.6265079219461774,0.00333333333333333,1.4663793103448243e-05,1,1.0,1.0,0.7763808525607182
163,3,67.0,70.0,35.0,15,54.0,6178.0,1.0030283365779797,0.0033333333333333335,1.4663793103448243e-05,1,1.0,1.0,0.9593197983226808
165,5,44.0,46.0,44.0,16,50.380132450331125,1835.0,0.27108036890645587,0.00135135135135135,1.4663793103448243e-05,1,1.0,1.0,0.9686403552923138
167,7,91.0,94.0,19.0,1,31.0,2188.0,0.015129797738493433,0.003076923076923077,1.4663793103448243e-05,1,1.0,0.0,0.018293582523586566
169,11,71.0,73.0,72.0,14,15.0,1677.0,0.00898142478056746,0.0,0.0,1,1.0,0.0,0.7767316763450506
170,12,67.0,70.0,61.0,25,58.0,6139.0,0.9945922561107507,0.00173310225303292,-0.0024,1,1.0,1.0,0.9984216344164907
171,6,79.0,82.0,14.0,1,72.0,2007.0,0.034855989726655656,0.0018975332068311196,-0.0096,1,1.0,0.0,0.03286739203322238
172,6,64.0,67.0,34.0,4,14.0,6022.0,1.0303442028985508,0.007142857142857143,-0.0019,1,1.0,0.0,0.4123819894230166
173,6,54.0,58.0,44.0,22,76.0,1400.0,0.042404723564143876,0.0,0.0013,1,1.0,1.0,0.9912736192789926
174,7,72.0,74.0,11.0,1,22.0,5800.0,0.8341384863123995,0.002,-0.0032,1,1.0,0.0,0.13599256114967181
175,7,83.0,85.0,77.0,3,58.0,3054.0,0.1999301554042256,0.0015723270440251573,-0.009,1,1.0,0.0,0.06769235197271214
177,1,44.0,46.0,25.0,7,23.0,3687.0,0.8810935441370225,0.0,0.0039,1,1.0,1.0,0.7351722715257926
178,1,61.0,64.0,45.0,17,50.0,5983.0,1.088144452363982,0.0,0.0047,1,1.0,1.0,0.9835276125084507
179,1,45.0,49.0,14.0,4,31.0,3127.0,0.6737520128824477,0.003367003367003367,0.0156,1,1.0,0.0,0.45170153742621405
180,2,65.0,68.0,29.0,15,55.0,5965.0,0.9966555183946488,0.0014097119072021733,1.4663793103448243e-05,1,1.0,1.0,0.9610288005200165
184,6,67.0,70.0,2.0,1,63.0,6189.0,1.0054077438892495,0.00045454545454545455,-0.0121,1,1.0,1.0,0.18880956283424896
186,8,57.0,60.0,3.0,1,75.0,3596.0,0.580981439105009,0.0015822784810126582,0.009,1,1.0,0.0,0.15476843563698467
192,1,68.0,71.0,23.0,1,5.0,2522.0,0.20417732310315434,0.0033333333333333335,1.4663793103448243e-05,2,1.0,0.0,0.0675760558061601
194,3,70.0,72.0,28.0,2,69.0,1657.0,0.00973084886128367,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.06500643820753739
195,3,60.0,62.0,10.0,1,10.0,2805.0,0.34420289855072467,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.10894927731873158
199,9,82.0,84.0,55.0,3,16.0,5673.0,0.6693177801343231,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.14507593205559594
200,2,65.0,67.0,6.0,6,67.0,5984.0,1.000891861761427,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.5596954494338323
203,3,66.0,68.0,34.51923076923077,2,20.0,5978.0,0.979358805445762,0.0014097119072021733,-0.0115,2,1.0,1.0,0.24287265763250304
205,7,60.0,62.0,49.0,1,9.0,5298.0,0.9463768115942031,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.2066158727042883
206,8,71.0,75.0,2.0,1,17.0,1745.0,0.022861808532353534,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.04634775151731393
210,1,70.0,74.0,74.0,22,70.0,1655.0,0.009316770186335421,0.0014097119072021733,1.4663793103448243e-05,2,1.0,1.0,0.9808403178986775
211,3,96.0,99.0,20.0,7,26.0,8978.0,1.0220410628019325,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.44619763614820923
212,5,11.0,13.0,13.0,3,21.0,557.0,0.40052700922266143,0.0014097119072021733,1.4663793103448243e-05,2,1.0,1.0,0.6352274476602306
213,5,78.0,81.0,74.0,1,13.0,7013.0,0.969713861018209,0.0014097119072021733,0.0049,2,1.0,1.0,0.1407596327480661
214,5,65.0,69.0,20.0,3,18.0,5997.0,1.0037904124860648,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.3215908599621089
216,7,49.0,52.0,3.0,3,11.0,4562.0,1.0159716060337178,0.0033333333333333335,0.007,2,1.0,0.0,0.4237738093272658
217,8,70.0,72.0,62.0,4,16.0,6946.0,1.1047619047619048,0.0033333333333333335,-0.0004,2,1.0,1.0,0.4008827682546946
218,8,103.0,106.0,1.0,1,37.0,5352.0,0.419727029689039,0.0025,-0.0051,2,1.0,1.0,0.024627632788419868
219,8,55.0,58.0,29.0,1,14.0,5113.0,1.013965744400527,0.005,0.0094,2,1.0,0.0,0.24447300574407965
222,10,44.0,47.0,44.0,9,14.0,3424.0,0.7944664031620554,0.0014097119072021733,-0.0019,2,1.0,1.0,0.8322264276623726
225,2,62.0,65.0,3.0,3,64.0,5745.0,1.0095839177185602,0.0,1.4663793103448243e-05,2,1.0,1.0,0.3409752092288028
227,8,60.0,63.0,42.0,4,50.380132450331125,5534.0,1.0033816425120774,0.0014097119072021733,0.0022,2,1.0,0.0,0.4295877702740901
228,8,67.0,71.0,2.0,1,5.0,6257.0,1.0201168072680078,0.0014097119072021733,0.0,2,1.0,0.0,0.1919884689677821
233,11,60.0,62.0,30.0,1,14.0,4128.0,0.663768115942029,0.0014097119072021733,1.4663793103448243e-05,2,1.0,0.0,0.15442847275896554
234,5,69.0,72.0,72.0,54,95.4,5963.0,0.9191346355807604,0.0014097119072021733,1.4663793103448243e-05,3,1.0,1.0,0.9999998706043592
235,2,66.0,68.0,57.0,1,50.380132450331125,5472.0,0.8682476943346509,0.0014097119072021733,1.4663793103448243e-05,3,1.0,0.0,0.16512681493394898
